OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-30830,2023-167V,2025-11-05T03:56:18.112128,15.02498855,.00011131,43.0028,102.5237,276.9276,83.1440,0,U,58194,999,11222,.57132732E-3,.7515E-4,0
STARLINK-30827,2023-167W,2025-11-05T03:53:05.756352,15.02536034,.00013559,43.0049,102.5288,264.9731,95.0957,0,U,58195,999,11222,.47372035E-4,.436E-5,0
STARLINK-30798,2023-167X,2025-11-05T03:19:42.053088,15.02536326,.00013018,43.0038,103.2090,266.7394,93.3300,0,U,58196,999,11221,.38071342E-4,.311E-5,0
STARLINK-30762,2023-167Y,2025-11-04T16:47:47.680224,15.02537182,.00014979,43.0048,105.0728,265.4606,94.6065,0,U,58197,999,11215,-.4783982E-5,-.268E-5,0
TIANHUI 5A,2023-168A,2025-11-04T13:08:19.919328,14.87589707,.00015512,97.8204,314.1564,87.9476,272.1918,0,U,58199,999,10920,.71038651E-4,.591E-5,0
TIANHUI 5B,2023-168C,2025-11-04T14:45:11.651616,14.87589623,.00021211,97.8203,314.2266,94.8145,265.3313,0,U,58201,999,10921,.68512593E-4,.568E-5,0
TJS-10,2023-169A,2025-11-04T12:22:45.126048,1.00271553,.0005596,1.9610,83.1817,153.0562,166.4954,0,U,58204,999,728,0,.16E-6,0
STARLINK-30800,2023-170A,2025-11-04T15:00:29.268864,15.02535343,.0001084,43.0022,155.7333,263.2044,96.8675,0,U,58206,999,11146,.45901E-4,.417E-5,0
STARLINK-30845,2023-170B,2025-11-05T06:04:59.919456,15.02601961,.00014234,43.0015,151.8659,279.9075,80.1606,0,U,58207,999,11156,-.10875434E-2,-.14889E-3,0
STARLINK-30841,2023-170C,2025-11-04T23:13:30.512064,15.02529645,.00013333,43.0031,153.9879,261.2156,98.8536,0,U,58208,999,11151,.6549296E-4,.681E-5,0
STARLINK-30839,2023-170D,2025-11-04T21:09:00.851904,15.02534729,.00010169,43.0027,154.2140,268.8404,91.2322,0,U,58209,999,11150,.20745927E-4,.77E-6,0
STARLINK-30846,2023-170E,2025-11-04T21:13:48.469728,15.02535322,.00011707,43.0024,154.2389,267.1477,92.9231,0,U,58210,999,11150,.14316313E-4,-.1E-6,0
STARLINK-30838,2023-170F,2025-11-04T22:35:09.352608,15.02534425,.00012365,43.0028,153.8039,265.7787,94.2914,0,U,58211,999,11151,.11166556E-4,-.53E-6,0
STARLINK-30837,2023-170G,2025-11-04T22:54:19.704672,15.02537685,.00010483,43.0025,153.8850,262.4427,97.6296,0,U,58212,999,11151,.31653452E-4,.224E-5,0
STARLINK-30813,2023-170H,2025-11-05T06:29:00.102048,15.02537307,.00010066,43.0037,151.9730,266.2191,93.8537,0,U,58213,999,11156,.24589182E-4,.129E-5,0
STARLINK-30805,2023-170J,2025-11-05T06:24:12.392640,15.02535574,.00011875,43.0026,151.9470,265.6516,94.4191,0,U,58214,999,11156,.16015003E-4,.13E-6,0
STARLINK-30851,2023-170K,2025-11-05T06:19:24.714336,15.02538968,.00011244,43.0037,151.9233,272.0003,88.0711,0,U,58215,999,11156,.41767718E-4,.361E-5,0
STARLINK-30818,2023-170M,2025-11-05T06:09:49.286880,15.02535217,.00011745,43.0038,151.8734,264.1226,95.9483,0,U,58217,999,11156,.16312563E-4,.17E-6,0
STARLINK-30794,2023-170N,2025-11-04T22:39:56.806272,15.02533873,.00012653,43.0034,153.8096,264.9943,95.0755,0,U,58218,999,11151,.2148685E-5,-.175E-5,0
STARLINK-30835,2023-170P,2025-11-05T06:00:13.436064,15.02549807,.00011721,43.0026,151.8217,266.9250,93.1458,0,U,58219,999,11156,-.18002917E-3,-.2635E-4,0
STARLINK-30792,2023-170Q,2025-11-04T20:21:04.013568,15.02530070,.00010794,43.0039,153.9647,267.5503,92.5215,0,U,58220,999,11150,-.46648448E-4,-.834E-5,0
STARLINK-30836,2023-170R,2025-11-04T23:27:43.565184,15.02538273,.00011626,43.0025,153.2163,263.4422,96.6288,0,U,58221,999,11152,.50485901E-4,.478E-5,0
STARLINK-30855,2023-170S,2025-11-04T15:10:03.408960,15.02549933,.0001097,43.0040,155.7638,248.4869,111.5857,0,U,58222,999,11146,.87722E-4,.982E-5,0
STARLINK-30840,2023-170T,2025-11-04T15:05:16.578240,15.02536893,.0000766,43.0015,155.7398,259.0407,101.0349,0,U,58223,999,11146,.22265E-4,.97E-6,0
STARLINK-30875,2023-170U,2025-11-05T06:14:36.489984,15.02539008,.00012254,43.0033,151.8822,266.7134,93.3568,0,U,58224,999,11156,.19245539E-4,.56E-6,0
STARLINK-30872,2023-170V,2025-11-04T23:13:08.894784,15.27580162,.00032353,43.0087,36.6682,260.8662,99.1824,0,U,58225,999,11289,.37495928E-4,.769E-5,0
STARLINK-30865,2023-170W,2025-11-04T22:32:53.659680,15.02535887,.00010401,43.0023,142.7412,260.4934,99.5790,0,U,58226,999,11164,.1179578E-5,-.188E-5,0
STARLINK-30874,2023-170X,2025-11-04T23:23:06.132192,15.02536591,.000101,43.0027,154.0353,255.6358,104.4372,0,U,58227,999,11151,-.2517778E-4,-.544E-5,0
STARLINK-30871,2023-170Y,2025-11-04T20:06:50.958720,15.02534191,.00011083,43.0033,154.7330,262.0664,98.0053,0,U,58228,999,11149,.10914963E-4,-.56E-6,0
STARLINK-30861,2023-171A,2025-11-05T02:26:52.158912,15.02568307,.00009436,43.0026,243.0317,270.0281,90.0453,0,U,58230,999,11098,.22528066E-3,.2843E-4,0
STARLINK-30867,2023-171B,2025-11-05T02:31:43.115232,15.02527877,.00012071,43.0035,243.0540,265.6710,94.3995,0,U,58231,999,11098,-.3377852E-5,-.249E-5,0
STARLINK-30880,2023-171C,2025-11-05T02:36:30.413376,15.02531808,.00011825,43.0038,243.0809,277.3596,82.7112,0,U,58232,999,11098,-.22636461E-4,-.509E-5,0
STARLINK-30777,2023-171D,2025-11-05T02:46:06.091392,15.02532402,.00010958,43.0018,243.1254,276.8865,83.1853,0,U,58233,999,11098,-.49206264E-4,-.868E-5,0
STARLINK-30860,2023-171E,2025-11-05T02:41:17.833344,15.02548247,.00004217,43.0040,243.1024,263.7863,96.2931,0,U,58234,999,11098,-.23031162E-3,-.3314E-4,0
STARLINK-30853,2023-171G,2025-11-05T02:50:53.946816,15.02525862,.00013754,43.0048,243.1473,272.2810,87.7875,0,U,58236,999,11098,-.63558425E-4,-.1062E-4,0
