OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2025-11-05T04:46:30.245952,13.76287171,.00244333,90.2202,66.5834,247.3654,184.5880,0,U,900,999,4061,.89145952E-3,.88E-5,0
CALSPHERE 2,1964-063E,2025-11-05T07:15:22.906944,13.52877765,.00194816,90.2343,70.5065,152.3225,268.7926,0,U,902,999,82599,.6912208E-4,.55E-6,0
LCS 1,1965-034C,2025-11-04T11:54:21.802752,9.89309122,.001339,32.1462,350.5213,46.1865,313.9738,0,U,1361,999,18763,.35332E-3,.11E-6,0
TEMPSAT 1,1965-065E,2025-11-05T06:17:59.379648,13.33577378,.00701939,89.9900,212.7012,156.0645,331.0513,0,U,1512,999,93020,.11774144E-3,.68E-6,0
CALSPHERE 4A,1965-065H,2025-11-05T06:46:25.655232,13.36228739,.00701318,89.9080,124.5709,16.8869,157.3001,0,U,1520,999,93280,.20341922E-3,.115E-5,0
OPS 5712 (P/L 160),1967-053A,2025-11-05T05:44:56.790816,14.73237183,.00047963,69.9194,225.4943,305.3347,54.7350,0,U,2826,999,3319,.15713797E-2,.10104E-3,0
LES-5,1967-066E,2025-11-04T20:31:45.265728,1.09425046,.00549882,2.1055,103.8764,197.4569,223.3590,0,U,2866,999,12858,0,-.34E-6,0
SURCAL 159,1967-053F,2025-11-04T21:19:00.250176,13.99524062,.00050732,69.9718,123.7959,24.5868,335.5481,0,U,2872,999,97882,.1259241E-3,.13E-5,0
OPS 5712 (P/L 153),1967-053H,2025-11-05T04:45:01.513152,13.96780390,.00052252,69.9734,235.3904,146.8735,213.2699,0,U,2874,999,97550,.74547619E-4,.5E-6,0
OPS 3811 (DSP 2),1971-039A,2025-11-05T04:03:01.608768,0.98160802,.00237027,0.3915,305.4853,336.4702,137.2338,0,U,5204,999,20403,0,-.123E-5,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2025-11-05T06:54:32.125248,14.37460615,.00581944,87.6237,40.9415,254.9204,104.5552,0,U,5398,999,84171,.35479299E-3,.1099E-4,0
OSCAR 7 (AO-7),1974-089B,2025-11-04T23:35:51.737280,12.53693080,.00120973,101.9979,314.8511,198.1892,189.6315,0,U,7530,999,33242,.97993674E-4,-.31E-6,0
STARLETTE,1975-010A,2025-11-05T04:49:21.927936,13.82346121,.02056619,49.8234,268.7116,43.0736,318.6049,0,U,7646,999,56355,.11509217E-4,-.131E-5,0
LAGEOS 1,1976-039A,2025-11-05T05:22:11.707968,6.38664842,.0044663,109.8397,102.6386,350.2193,180.8328,0,U,8820,999,89883,0,.15E-6,0
OPS 8701 (DSP 10),1982-019A,2025-11-05T00:25:22.469088,0.98187776,.00062695,9.7496,310.7990,293.3725,77.7524,0,U,13086,999,2346,0,-.33E-6,0
PHASE 3B (AO-10),1983-058B,2025-11-04T00:42:55.576224,2.05869386,.60673918,26.1606,257.7790,52.8539,348.4947,0,U,14129,999,29085,0,.237E-5,0
UOSAT 2 (UO-11),1984-021B,2025-11-04T20:26:24.632736,14.89943351,.00070187,97.7751,272.4859,194.3754,165.7265,0,U,14781,999,22371,.22658853E-3,.2127E-4,0
AJISAI (EGS),1986-061A,2025-11-05T05:38:52.177632,12.44514155,.00111567,50.0068,116.0403,331.3080,78.6186,0,U,16908,999,45250,.2443432E-4,-.94E-6,0
TDRS 3,1988-091B,2025-11-04T22:54:09.118080,1.00267616,.00399266,12.7743,342.4778,340.4048,16.2198,0,U,19548,999,12313,0,-.294E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2025-11-05T04:53:38.889312,2.13155919,.00234296,64.8159,79.8632,216.9664,312.4085,0,U,19751,999,28659,0,.8E-7,0
COSMOS 2024 (ETALON 2),1989-039C,2025-11-04T13:30:30.947616,2.13204419,.00204359,65.0723,318.2700,214.3949,301.8018,0,U,20026,999,28371,0,-.17E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2025-11-04T23:43:48.952992,1.00267000,.00060901,12.4849,352.5020,253.1250,280.4805,0,U,20253,999,25831,0,-.361E-5,0
LUSAT (LO-19),1990-005G,2025-11-05T06:54:02.768256,14.34020557,.00122862,98.8985,319.7884,138.9683,221.2427,0,U,20442,999,87030,.82899741E-4,.185E-5,0
HST,1990-037B,2025-11-04T21:39:13.963680,15.27312898,.00017923,28.4662,169.8920,162.0286,198.0372,0,U,20580,999,75420,.24372759E-3,.6932E-4,0
SKYNET 4C,1990-079A,2025-11-03T18:11:01.550112,1.00273428,.0006261,13.4146,351.3440,162.5734,195.5312,0,U,20776,999,12862,0,.133E-5,0
USA 65 (DSP 15),1990-095A,2025-11-04T19:47:34.499040,0.98397602,.00020798,14.1447,345.5926,125.4018,248.4512,0,U,20929,999,2326,0,-.135E-5,0
TDRS 5,1991-054B,2025-11-04T08:38:09.444192,1.00268358,.00148376,14.0992,355.4269,253.3961,116.9458,0,U,21639,999,12546,0,.9E-6,0
USA 75 (DSP 16),1991-080B,2025-11-04T09:06:42.414048,0.99189742,.00024626,14.1266,347.1031,147.2456,211.9223,0,U,21805,999,2347,0,-.245E-5,0
LAGEOS 2,1992-070B,2025-11-03T16:50:33.175968,6.47293461,.013782,52.6708,49.1347,88.8628,63.2838,0,U,22195,999,78082,0,-.9E-7,0
TDRS 6,1993-003B,2025-11-05T03:28:08.775264,1.00269363,.00100841,14.1786,358.7110,203.4103,208.7407,0,U,22314,999,12016,0,-.29E-5,0
SCD 1,1993-009B,2025-11-04T22:55:07.240224,14.45962033,.00418441,24.9683,151.9299,285.0378,213.9481,0,U,22490,999,72862,.7999095E-4,.478E-5,0
UFO 2 (USA 95),1993-056A,2025-11-04T19:42:38.795040,1.00271744,.000518,11.8178,4.7578,233.8064,130.0981,0,U,22787,999,11630,0,.132E-5,0
STELLA,1993-061B,2025-11-05T05:55:56.642304,14.27461795,.00066929,98.8064,7.3281,159.5259,287.8508,0,U,22824,999,67282,.13030461E-4,-.13E-6,0
EYESAT A (AO-27),1993-061C,2025-11-05T04:01:44.504544,14.30855097,.00090661,98.7197,11.3369,43.5360,316.6537,0,U,22825,999,67496,.80512106E-4,.166E-5,0
ITAMSAT (IO-26),1993-061D,2025-11-05T03:26:45.158208,14.31273818,.00093236,98.7145,11.2083,28.2878,331.8810,0,U,22826,999,67526,.79318357E-4,.165E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2025-11-04T17:59:57.738912,1.00273392,.00031625,17.2837,30.1170,221.8112,332.3202,0,U,22988,999,3070,0,-.191E-5,0
RADIO ROSTO (RS-15),1994-085A,2025-11-05T06:21:07.545888,11.27581929,.01483835,64.8173,305.3568,45.6362,315.6608,0,U,23439,999,27065,.16787427E-3,-.37E-6,0
UFO 4 (USA 108),1995-003A,2025-11-04T11:28:38.608032,1.00273250,.0004334,9.7049,13.9532,206.9637,167.5538,0,U,23467,999,11270,0,-.12E-6,0
TDRS 7,1995-035B,2025-11-04T11:41:47.654304,1.00278329,.00043617,13.4715,349.7287,100.6145,218.0815,0,U,23613,999,11099,0,-.234E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2025-11-05T06:30:52.887744,1.00273036,.00026187,13.9914,5.3911,241.4205,135.6673,0,U,23712,999,3064,0,-.15E-6,0
POLAR,1996-013A,2025-11-02T14:14:54.866112,1.29846380,.62471448,79.5932,229.5865,216.7474,77.3392,0,U,23802,999,14191,0,.118E-5,0
INMARSAT 3-F1,1996-020A,2025-11-04T14:23:51.640800,0.99997656,.00091223,10.1326,48.6518,179.4174,166.4474,0,U,23839,999,10800,0,-.332E-5,0
USA 119,1996-029A,2025-11-05T00:27:07.522848,13.45432311,.08398431,63.3238,58.2410,45.7573,320.9348,0,U,23893,999,7510,.18774483E-3,.945E-5,0
JAS-2 (FO-29),1996-046B,2025-11-05T05:08:13.350624,13.53258920,.03492909,98.5496,183.3788,317.5424,39.9172,0,U,24278,999,44287,.25427889E-4,-.13E-6,0
INMARSAT 3-F2,1996-053A,2025-11-05T00:54:57.133728,0.99996329,.00063837,9.3484,56.1715,166.2786,210.8254,0,U,24307,999,10668,0,.59E-6,0
INMARSAT 3-F3,1996-070A,2025-11-04T19:17:44.858688,0.99978329,.00084126,9.8321,51.7621,182.1947,13.0983,0,U,24674,999,10566,0,-.155E-5,0
NAVSTAR 43 (USA 132),1997-035A,2025-11-04T20:10:26.191488,2.00563246,.0096372,55.8761,107.3511,56.9527,303.9743,0,U,24876,999,20745,0,.59E-6,0
FORTE,1997-047A,2025-11-05T01:37:44.054400,14.27801457,.00242067,69.9513,160.1941,229.1157,130.7868,0,U,24920,999,46669,.10915457E-3,.213E-5,0
AMC-3,1997-050A,2025-11-04T07:54:36.164736,1.00270559,.00031904,7.5933,66.6272,167.7073,216.1646,0,U,24936,999,5018,0,-.247E-5,0
USA 134,1997-065A,2025-11-05T01:33:02.431008,1.00272504,.00051277,12.5166,23.3598,246.5378,45.8378,0,U,25019,999,3070,0,-.56E-6,0
ORBCOMM FM06,1997-084G,2025-11-05T00:20:49.850304,14.46638855,.00029812,45.0138,51.2191,215.0456,314.2492,0,U,25118,999,46191,.58856064E-3,.2E-4,0
INMARSAT 3-F5,1998-006B,2025-11-05T04:26:03.543936,1.00272829,.00052305,9.1904,55.4387,175.1381,186.6662,0,U,25153,999,10165,0,-.279E-5,0
ORBCOMM FM04,1998-007C,2025-11-05T06:44:55.743936,14.35113549,.0039979,107.9633,68.8144,355.9729,4.1085,0,U,25159,999,44446,.49902547E-3,.1307E-4,0
CELESTIS-02 & TAURUS R/B,1998-007D,2025-11-05T01:04:42.040128,14.22392295,.0060905,108.0044,239.7998,157.7480,213.9470,0,U,25160,999,43864,.8888023E-4,.72E-6,0
TECHSAT 1B (GO-32),1998-043D,2025-11-05T04:41:26.485152,14.24360500,.00020778,98.9886,291.5467,117.9958,242.1431,0,U,25397,999,41944,.61321235E-4,.95E-6,0
WESTPAC,1998-043E,2025-11-04T21:42:25.490880,14.23033843,.00022184,98.9897,284.9504,115.3807,244.7600,0,U,25398,999,41904,.15837817E-4,-.11E-6,0
ORBCOMM FM19,1998-046C,2025-11-05T01:39:37.675584,14.38802970,.00042094,44.9936,228.3724,288.5794,86.4122,0,U,25415,999,42449,.48681166E-3,.1368E-4,0
ORBCOMM FM20,1998-046D,2025-11-05T01:48:07.411392,14.37536526,.00023255,44.9937,233.9159,316.2683,43.7980,0,U,25416,999,42453,.36888853E-3,.974E-5,0
ORBCOMM FM27,1998-053G,2025-11-04T17:09:50.875488,14.38501179,.00029578,45.0060,321.0556,263.5029,96.5483,0,U,25481,999,41790,.44587334E-3,.1233E-4,0
SCD 2,1998-060A,2025-11-04T15:45:19.053792,14.45390566,.00165233,24.9965,16.7104,270.7005,222.5563,0,U,25504,999,42780,.85769894E-4,.489E-5,0
ISS (ZARYA),1998-067A,2025-11-04T22:31:02.465472,15.49755997,.0005046,51.6335,329.6155,18.0946,342.0222,0,U,25544,999,53699,.19940879E-3,.10846E-3,0
SWAS,1998-071A,2025-11-04T18:45:35.856000,15.07397195,.00087326,69.8957,85.3714,252.2989,107.7221,0,U,25560,999,46342,.3231837E-3,.4805E-4,0
SKYNET 4E,1999-009B,2025-11-04T21:24:55.170144,1.00272891,.00039803,11.9298,10.3073,236.3520,117.6851,0,U,25639,999,4892,0,-.27E-6,0
DLR-TUBSAT,1999-029B,2025-11-05T04:29:33.432000,14.52334838,.00133868,98.6533,292.5479,314.8922,45.1185,0,U,25757,999,40073,.48944047E-4,.151E-5,0
CXO,1999-040B,2025-11-05T14:13:20.027424,0.37811702,.82077793,52.3453,123.8670,310.6717,0.0538,0,U,25867,999,1647,0,.745E-5,0
ABS-6,1999-053A,2025-11-04T20:27:53.136576,1.00271631,.0002525,0.0013,23.4534,216.7573,270.1245,0,U,25924,999,9559,0,-.107E-5,0
NAVSTAR 46 (USA 145),1999-055A,2025-11-04T22:51:31.127904,2.00549752,.01108463,51.6671,305.2691,169.3576,198.2824,0,U,25933,999,19108,0,-.47E-6,0
UFO 10 (USA 146),1999-063A,2025-11-05T00:44:13.163424,1.00268748,.00068488,9.8136,28.3554,224.2375,139.9504,0,U,25967,999,9510,0,-.18E-5,0
ORBCOMM FM32,1999-065C,2025-11-04T22:18:36.997632,14.36615219,.0006562,45.0142,154.3657,20.0373,340.0731,0,U,25982,999,35483,.3484509E-3,.893E-5,0
XMM-NEWTON,1999-066A,2025-11-02T23:29:54.608928,0.50128791,.4763494,65.6244,285.9650,68.8942,0.1604,0,U,25989,999,2187,0,.107E-5,0
TERRA,1999-068A,2025-11-05T06:35:25.160064,14.60884649,.00018479,97.9803,2.3224,181.6883,266.3930,0,U,25994,999,37691,.13694822E-3,.625E-5,0
ASIASTAR,2000-016A,2025-11-04T18:23:38.521248,1.00268148,.00062802,8.6039,60.4982,174.0075,190.6772,0,U,26107,999,9367,0,-.32E-5,0
IMAGE,2000-017A,2025-11-03T23:16:54.661440,1.68662980,.76001364,93.9789,312.1574,314.0511,4.5140,0,U,26113,999,15770,.95014209E-3,.42E-6,0
USA 149 (DSP 20),2000-024A,2025-11-04T08:59:21.703200,1.00272199,.00014567,13.0005,13.4166,228.3405,131.5934,0,U,26356,999,3065,0,.103E-5,0
NAVSTAR 47 (USA 150),2000-025A,2025-11-03T22:49:52.434048,2.00570746,.0038311,55.0230,28.4072,238.3156,291.6692,0,U,26360,999,18675,0,-.74E-6,0
TDRS 8,2000-034A,2025-11-04T17:38:38.694048,1.00268809,.00028901,12.3284,33.1819,212.4137,148.0657,0,U,26388,999,9292,0,-.183E-5,0
NAVSTAR 48 (USA 151),2000-040A,2025-11-03T22:44:26.642112,2.00567318,.0128179,54.9016,224.1108,301.0329,65.9109,0,U,26407,999,18543,0,.12E-6,0
CLUSTER II-FM7 (SAMBA),2000-041A,2025-11-03T17:25:19.642656,0.44798985,.86866609,146.9060,21.4009,236.9590,0.8183,0,U,26410,999,1930,0,.1088E-4,0
CLUSTER II-FM8 (TANGO),2000-045B,2025-11-06T12:09:34.743168,0.44418773,.8696772,147.2560,22.2399,237.6596,0.9254,0,U,26464,999,1931,0,.1593E-4,0
NSS-11,2000-059A,2025-11-05T03:23:42.876672,1.00271694,.00031332,1.5435,84.0472,142.1030,45.4324,0,U,26554,999,3904,0,.38E-6,0
USA 153,2000-065A,2025-11-04T14:37:38.639136,1.00266798,.00018745,11.2364,37.2247,204.4885,156.2056,0,U,26575,999,3068,0,-.315E-5,0
AMC-6,2000-067A,2025-11-05T02:04:12.910656,1.00272508,.00041666,0.0750,72.7109,161.4225,66.4827,0,U,26580,999,9164,0,.1E-5,0
NAVSTAR 49 (USA 154),2000-071A,2025-11-04T11:50:07.143936,2.00575232,.01672767,55.4984,103.8342,263.9747,58.2968,0,U,26605,999,18300,0,.55E-6,0
ODIN,2001-007A,2025-11-05T01:33:41.353344,15.48273494,.00015192,97.4286,335.8743,249.8503,110.2584,0,U,26702,999,35449,.57101347E-3,.30105E-3,0
USA 157 (MILSTAR-2 2),2001-009A,2025-11-05T04:38:39.423840,1.00274406,.0043905,11.2954,21.1001,184.3889,118.8151,0,U,26715,999,3069,0,.118E-5,0
BSAT-2A,2001-011B,2025-11-04T20:04:55.337376,0.99174656,.00083481,10.2553,49.5101,191.0857,183.7240,0,U,26720,999,8975,0,.42E-6,0
INTELSAT 10 (IS-10),2001-019A,2025-11-04T05:44:41.067744,0.99076070,.0006466,8.5346,61.5353,204.2965,168.5788,0,U,26766,999,4335,0,-.181E-5,0
OMNI-M1,2001-026A,2025-11-03T23:42:49.413024,3.92402348,.00158906,44.9369,297.1262,347.0340,12.9477,0,U,26857,999,19673,0,-.28E-6,0
USA 159 (DSP 21),2001-033A,2025-11-05T02:19:26.536224,1.00275433,.00014538,12.5747,17.9806,239.6096,132.7400,0,U,26880,999,3072,0,-.29E-5,0
INTELSAT 902 (IS-902),2001-039A,2025-10-29T07:38:27.187872,1.00272641,.00043676,5.5323,74.5916,140.6922,247.1466,0,U,26900,999,8838,0,-.27E-5,0
PCSAT (NO-44),2001-043C,2025-11-05T03:45:05.212512,14.31820300,.00071885,67.0492,103.6676,272.0825,87.9454,0,U,26931,999,25837,.11395894E-3,.222E-5,0
PROBA-1,2001-049B,2025-11-05T07:05:01.116384,15.06146186,.00569855,97.9576,305.2457,157.9720,202.3975,0,U,26958,999,30990,.15796618E-3,.2326E-4,0
TIMED,2001-055B,2025-11-05T07:02:39.124032,14.94488206,.00023462,74.0679,325.5867,254.1992,105.8934,0,U,26998,999,29736,.16249022E-3,.1715E-4,0
MAROC-TUBSAT,2001-056D,2025-11-05T06:58:32.179872,13.70250268,.00198188,99.7914,117.0814,358.6798,123.7704,0,U,27004,999,19552,.21839356E-4,-.27E-6,0
COSMOS 2385,2001-058B,2025-11-05T07:40:10.150752,12.60559101,.00064433,82.5399,3.0349,30.2297,59.7753,0,U,27056,999,9757,-.282764E-5,.1E-6,0
COSMOS 2386,2001-058C,2025-11-05T05:13:59.806848,12.61610189,.00011425,82.5473,357.5666,116.4431,243.6777,0,U,27057,999,9826,.16016148E-3,.39E-6,0
USA 164 (MILSTAR-2 3),2002-001A,2025-11-04T22:11:38.753376,1.00278178,.00960987,10.9108,23.2105,2.1936,11.1124,0,U,27168,999,3071,0,.108E-5,0
INTELSAT 904 (IS-904),2002-007A,2025-11-05T02:24:33.545664,1.00268997,.00016267,6.3575,71.8630,145.3725,192.0153,0,U,27380,999,4951,0,-.212E-5,0
AQUA,2002-022A,2025-11-05T06:15:05.936832,14.61668659,.00011338,98.3979,269.5453,48.8469,87.3453,0,U,27424,999,25055,.28434392E-3,.1366E-4,0
DIRECTV 5 (TEMPO 1),2002-023A,2025-11-04T11:25:46.391232,1.00271268,.00035284,4.3004,78.1055,152.1755,235.0488,0,U,27426,999,8587,0,-.42E-6,0
INTELSAT 905 (IS-905),2002-027A,2025-11-03T22:30:30.714336,1.00273936,.0002825,6.1844,72.5026,157.8845,13.5295,0,U,27438,999,4910,0,.109E-5,0
GALAXY 3C (G-3C),2002-030A,2025-11-04T20:58:12.730080,1.00270490,.00015489,3.1653,80.8898,84.9433,98.2675,0,U,27445,999,4424,0,-.139E-5,0
COSMOS 2390,2002-036A,2025-11-05T05:59:54.333024,12.44617440,.00257607,82.4795,124.9945,29.8943,330.3603,0,U,27464,999,5981,.45025125E-4,.16E-6,0
COSMOS 2391,2002-036B,2025-11-05T05:51:38.624256,12.44939810,.00265598,82.4790,121.6224,24.3271,335.9057,0,U,27465,999,5998,.58362751E-4,.18E-6,0
INTELSAT 906 (IS-906),2002-041A,2025-11-04T23:26:21.033312,1.00270763,.00052301,5.2314,75.6778,176.9185,207.6156,0,U,27513,999,8478,0,.27E-6,0
LATINSAT B,2002-058B,2025-11-05T03:34:38.867808,14.76502882,.00775938,64.5543,217.0336,314.5405,44.9376,0,U,27606,999,22901,.17602874E-3,.1143E-4,0
SAUDISAT 1C (SO-50),2002-058C,2025-11-04T19:42:51.666048,14.82168011,.00698478,64.5513,102.7714,303.6217,55.8236,0,U,27607,999,23119,.21256303E-3,.1617E-4,0
LATINSAT A,2002-058H,2025-11-05T08:02:44.782656,14.84790421,.00566418,64.5551,296.4651,281.5768,77.8983,0,U,27612,999,23438,.2225656E-3,.1793E-4,0
NIMIQ 2,2002-062A,2025-11-05T06:37:42.212064,1.00270569,.00064197,8.9260,59.2120,170.1413,165.6638,0,U,27632,999,4193,0,-.57E-6,0
CORIOLIS,2003-001A,2025-11-05T06:04:32.793312,14.19851125,.00147923,98.7154,314.5704,134.9426,225.2953,0,U,27640,999,18244,.10892637E-3,.188E-5,0
SORCE,2003-004A,2025-11-05T03:20:48.052320,15.01826845,.0017644,39.9901,98.3751,241.8611,118.0400,0,U,27651,999,23818,.35633575E-3,.4599E-4,0
NAVSTAR 51 (USA 166),2003-005A,2025-11-04T18:18:29.047680,2.00572862,.01457734,54.9343,223.8883,51.2655,319.6894,0,U,27663,999,16681,0,.18E-6,0
USA 167,2003-008A,2025-11-05T06:29:54.675744,1.00271328,.00039377,10.5151,45.3663,244.4697,90.3123,0,U,27691,999,452,0,.16E-6,0
NAVSTAR 52 (USA 168),2003-010A,2025-11-04T22:53:24.190080,1.94742952,.00044434,54.9413,333.6520,293.0113,63.4470,0,U,27704,999,16554,0,-.59E-6,0
USA 169 (MILSTAR-2 4),2003-012A,2025-11-04T12:43:38.802144,1.00272928,.0093592,12.0072,31.6187,1.8493,353.6091,0,U,27711,999,3069,0,-.185E-5,0
ASIASAT 4,2003-014A,2025-11-04T18:41:52.410048,1.00271761,.00029502,4.1290,78.5582,144.4572,249.3014,0,U,27718,999,4305,0,-.208E-5,0
HELLAS-SAT 2,2003-020A,2025-11-05T02:30:40.459680,1.00271145,.00106892,6.7943,70.5499,167.4230,194.3308,0,U,27811,999,4060,0,-.7E-6,0
THURAYA-2,2003-026A,2025-11-04T19:39:38.586240,1.00274008,.00020924,8.4861,32.8362,235.4959,114.9182,0,U,27825,999,8209,0,.136E-5,0
OPTUS C1,2003-028B,2025-11-04T15:09:38.657952,1.00272576,.00061927,6.3243,72.1191,154.8851,200.2910,0,U,27831,999,5080,0,-.136E-5,0
MOST,2003-031D,2025-11-05T06:35:32.994816,14.21254090,.00099449,98.7079,315.1259,172.7803,187.3519,0,U,27843,999,15890,.74724406E-4,.119E-5,0
CUTE-1 (CO-55),2003-031E,2025-11-05T06:48:26.797536,14.24130051,.0010631,98.6778,315.6681,113.3763,246.8536,0,U,27844,999,15980,.21092434E-3,.442E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2025-11-04T22:49:16.190976,14.23445178,.00103221,98.6805,315.2311,130.3769,229.8312,0,U,27848,999,15947,.172617E-3,.349E-5,0
SCISAT 1,2003-036A,2025-11-05T06:29:17.719008,14.81010753,.00072185,73.9295,256.1102,359.1340,0.9823,0,U,27858,999,19829,.16563329E-3,.1248E-4,0
COSMOS 2400,2003-037A,2025-11-05T07:02:57.361344,12.45184986,.00215746,82.4663,110.2513,183.5540,176.5392,0,U,27868,999,967,.12267921E-3,.27E-6,0
COSMOS 2401,2003-037B,2025-11-05T07:29:48.458688,12.45497852,.00224167,82.4656,106.7146,179.1346,180.9778,0,U,27869,999,990,.16881787E-4,.12E-6,0
USA 170,2003-040A,2025-11-04T23:14:52.133280,1.00272753,.00026666,10.0221,50.0247,202.3583,164.9598,0,U,27875,999,3074,0,.138E-5,0
MOZHAETS 4 (RS-22),2003-042A,2025-11-05T08:33:33.156864,14.72801714,.00102722,98.3371,122.5671,257.5808,218.9998,0,U,27939,999,18259,.2634112E-3,.1632E-4,0
LARETS,2003-042F,2025-11-05T06:09:35.018784,14.63805222,.0012659,98.3879,102.1354,20.6750,339.4961,0,U,27944,999,18060,.26903122E-4,.9E-6,0
GALAXY 13 (HORIZONS-1),2003-044A,2025-11-05T06:13:57.770688,1.00272936,.00019451,0.8365,86.9373,129.8755,131.4383,0,U,27954,999,4432,0,.145E-5,0
IRS-P6 (RESOURCESAT-1),2003-046A,2025-11-05T08:36:50.663808,14.36048322,.00630317,98.2235,351.4868,294.3375,75.6817,0,U,28051,999,14840,.73432478E-4,.177E-5,0
DMSP 5D-3 F16 (USA 172),2003-048A,2025-11-05T07:12:07.999776,14.14403235,.000809,99.0081,326.4559,65.2609,104.4769,0,U,28054,999,13783,.11063109E-3,.166E-5,0
CHUANGXIN 1 (CX-1),2003-049B,2025-11-05T05:29:27.867264,14.48412605,.00132177,98.5258,201.4008,138.2561,221.9642,0,U,28058,999,16385,.10855445E-3,.361E-5,0
YAMAL 202,2003-053A,2025-11-04T13:46:38.864352,1.00271209,.000656,5.7751,73.6629,161.4378,179.1878,0,U,28089,999,8044,0,-.65E-6,0
UFO 11 (USA 174),2003-057A,2025-11-04T18:51:38.615904,1.00272633,.00047601,8.7295,34.8637,197.9446,169.9522,0,U,28117,999,8020,0,-.94E-6,0
NAVSTAR 53 (USA 175),2003-058A,2025-11-03T19:24:28.390752,1.92678423,.00019406,54.8863,31.6230,290.8850,69.1230,0,U,28129,999,16012,0,-.75E-6,0
USA 176 (DSP 22),2004-004A,2025-11-05T01:34:36.920640,1.00266598,.00040505,11.7559,27.6732,227.5288,76.4118,0,U,28158,999,3068,0,-.149E-5,0
ABS-4 (MOBISAT-1),2004-007A,2025-11-04T23:25:21.127872,1.00273196,.00060192,5.4726,74.7322,158.0375,224.0363,0,U,28184,999,5009,0,.52E-6,0
EUTELSAT 7A,2004-008A,2025-11-05T06:20:09.089376,1.00274118,.00015204,5.2596,74.6698,186.7664,99.1900,0,U,28187,999,7910,0,.115E-5,0
NAVSTAR 54 (USA 177),2004-009A,2025-11-05T01:18:06.743808,2.00562078,.01079014,55.0192,284.7374,166.9470,214.6535,0,U,28190,999,15845,0,-.29E-6,0
SHIYAN-1 (SY-1),2004-012A,2025-11-05T03:00:27.688608,15.26720279,.00078776,97.8997,8.4764,89.4344,270.7796,0,U,28220,999,17682,.48355456E-3,.12646E-3,0
AMC-11,2004-017A,2025-11-05T00:19:08.067648,1.00269988,.00034536,0.0576,69.1348,161.3914,67.6871,0,U,28252,999,7862,0,-.37E-6,0
INTELSAT 10-02,2004-022A,2025-11-05T02:33:17.709408,1.00270246,.00012807,0.0421,72.8782,190.0947,178.9814,0,U,28358,999,7830,0,.1E-7,0
NAVSTAR 55 (USA 178),2004-023A,2025-11-04T18:38:52.697184,2.00570708,.01550909,54.7108,95.7849,295.1195,62.4769,0,U,28361,999,15653,0,.33E-6,0
APRIZESAT 2,2004-025A,2025-11-05T05:28:40.463040,14.37890571,.01052712,98.0823,123.1614,205.7068,153.8866,0,U,28366,999,11945,.13236205E-3,.383E-5,0
SAUDICOMSAT 1,2004-025D,2025-11-04T22:54:48.951936,14.55208489,.00321584,98.5778,308.0766,352.5343,7.5370,0,U,28369,999,13151,.14308678E-3,.573E-5,0
SAUDICOMSAT 2,2004-025E,2025-11-05T06:05:33.200736,14.49762694,.00549853,98.6666,310.1797,216.9160,142.8244,0,U,28370,999,12765,.12339025E-3,.435E-5,0
SAUDISAT 2,2004-025F,2025-11-05T05:24:38.187936,14.56472366,.00235634,98.5402,298.6006,264.6557,95.1951,0,U,28371,999,13314,.1160749E-3,.468E-5,0
APRIZESAT 1,2004-025G,2025-11-04T22:39:17.491680,14.51583846,.00457634,98.6316,308.5850,116.3895,244.2007,0,U,28372,999,12937,.98299043E-4,.35E-5,0
AURA,2004-026A,2025-11-05T04:29:56.770368,14.60806659,.00011439,98.3121,259.2553,67.7496,292.3825,0,U,28376,999,13350,.29198856E-3,.1378E-4,0
ANIK F2,2004-027A,2025-11-05T03:01:41.793888,1.00271198,.00027621,2.7025,82.4331,95.4388,161.0800,0,U,28378,999,3901,0,-.37E-6,0
COSMOS 2407,2004-028A,2025-11-05T05:42:02.871072,13.76307402,.00396288,82.9608,240.6560,156.7918,313.8107,0,U,28380,999,6907,.56315022E-4,.71E-6,0
SHIJIAN-6 01A (SJ-6 01A),2004-035A,2025-11-05T00:40:59.851200,15.13855830,.00065405,97.6090,330.9010,176.2200,183.9082,0,U,28413,999,15350,.4624647E-3,.8302E-4,0
SHIJIAN-6 01B (SJ-6 01B),2004-035B,2025-11-05T08:03:27.120384,15.04495761,.00050311,97.6200,325.1584,166.4913,193.6449,0,U,28414,999,15314,.42377713E-3,.5875E-4,0
COSMOS 2408,2004-037A,2025-11-05T05:53:43.428192,12.45673393,.00163596,82.4804,106.1643,41.8442,318.3887,0,U,28419,999,96002,-.8350295E-5,.9E-7,0
